"Product_Name","Product_ASIN","Brand","Price","MRP","Discount","Stock_Status","Rating","Reviews","Seller","Product_Link","Reviews_Link","Scraped_At"
"Lenovo V15 G4 AMD Athlon Silver 7120U Laptop 8GB LPDDR5 Ram, 512 GB SSD PCIe, Windows 11 Lifetime Validity,15.6"" FHD Screen, AMD Radeon 610M, Silver, 1 Year Brand Warranty","B0CL7CMTXS","Lenovo","25979","38000","(32% off)","In stock","4.1","N/A","Visit the Lenovo Store","https://www.amazon.in/Lenovo-V15-Lifetime-Validity-Warranty/dp/B0CL7CMTXS/ref=sr_1_1?dib=eyJ2IjoiMSJ9.WDufGkYsryoSKfXyOWqkZlnjFauo6_NVhQduD_eG4DbMam64K9kKEPCFrTiVQwQHg9b0Sa3QEeChiQzhfJ99EtqkcsvlPX2IAorgEBYwUQCThPvudl1afTnPcZavN9ijJUNyZmItA-Sglvk8OxBCmJJ7hhPXNoZBTPDclJNF0Z8k2NIPcZaRQpGnOlgIzddL5v9iJsj0lqn08vpStw1TDZyGYRJZX3ix1aOEf0VHDLI.D_5FyvZCGtBED_TLKuA-9L6ex3Rra2hIIEMe85P3TTc&dib_tag=se&keywords=laptops&qid=1762353044&sr=8-1","https://www.amazon.in/Lenovo-V15-Lifetime-Validity-Warranty/dp/B0CL7CMTXS/ref=sr_1_1?dib=eyJ2IjoiMSJ9.WDufGkYsryoSKfXyOWqkZlnjFauo6_NVhQduD_eG4DbMam64K9kKEPCFrTiVQwQHg9b0Sa3QEeChiQzhfJ99EtqkcsvlPX2IAorgEBYwUQCThPvudl1afTnPcZavN9ijJUNyZmItA-Sglvk8OxBCmJJ7hhPXNoZBTPDclJNF0Z8k2NIPcZaRQpGnOlgIzddL5v9iJsj0lqn08vpStw1TDZyGYRJZX3ix1aOEf0VHDLI.D_5FyvZCGtBED_TLKuA-9L6ex3Rra2hIIEMe85P3TTc&dib_tag=se&keywords=laptops&qid=1762353044&sr=8-1#customerReviews","2025-11-05 20:00:32"
"acer Aspire Lite, AMD Ryzen 3 5300U Processor, 16 GB RAM, 512GB SSD, Full HD, 15.6""/39.62cm, Windows 11 Home, Steel Gray, 1.59KG, AL15-41, Metal Body, Premium Thin and Light Laptop","B0CWTYGPH8","acer","28890","46990","(39% off)","In stock","3.9","N/A","Visit the acer Store","https://www.amazon.in/Acer-Premium-Windows-AL15-41-Display/dp/B0CWTYGPH8/ref=sr_1_2?dib=eyJ2IjoiMSJ9.WDufGkYsryoSKfXyOWqkZlnjFauo6_NVhQduD_eG4DbMam64K9kKEPCFrTiVQwQHg9b0Sa3QEeChiQzhfJ99EtqkcsvlPX2IAorgEBYwUQCThPvudl1afTnPcZavN9ijJUNyZmItA-Sglvk8OxBCmJJ7hhPXNoZBTPDclJNF0Z8k2NIPcZaRQpGnOlgIzddL5v9iJsj0lqn08vpStw1TDZyGYRJZX3ix1aOEf0VHDLI.D_5FyvZCGtBED_TLKuA-9L6ex3Rra2hIIEMe85P3TTc&dib_tag=se&keywords=laptops&qid=1762353044&sr=8-2","https://www.amazon.in/Acer-Premium-Windows-AL15-41-Display/dp/B0CWTYGPH8/ref=sr_1_2?dib=eyJ2IjoiMSJ9.WDufGkYsryoSKfXyOWqkZlnjFauo6_NVhQduD_eG4DbMam64K9kKEPCFrTiVQwQHg9b0Sa3QEeChiQzhfJ99EtqkcsvlPX2IAorgEBYwUQCThPvudl1afTnPcZavN9ijJUNyZmItA-Sglvk8OxBCmJJ7hhPXNoZBTPDclJNF0Z8k2NIPcZaRQpGnOlgIzddL5v9iJsj0lqn08vpStw1TDZyGYRJZX3ix1aOEf0VHDLI.D_5FyvZCGtBED_TLKuA-9L6ex3Rra2hIIEMe85P3TTc&dib_tag=se&keywords=laptops&qid=1762353044&sr=8-2#customerReviews","2025-11-05 20:00:46"
"HP 14 (2025), Intel Core 5 14th Gen 120U - (32 GB/512 GB SSD/Intel Iris Xe Graphics/Windows 11 Pro) Thin and Light Business Laptop/14.0"" FHD Display/Ash Grey/1.4 kg/MS Office 2021","B0FVKVB2JQ","HP","53990","99990","(46% off)","In stock","5.0","N/A","Visit the HP Store","https://www.amazon.in/HP-14-Intel-Core-14th/dp/B0FVKVB2JQ/ref=sr_1_3?dib=eyJ2IjoiMSJ9.WDufGkYsryoSKfXyOWqkZlnjFauo6_NVhQduD_eG4DbMam64K9kKEPCFrTiVQwQHg9b0Sa3QEeChiQzhfJ99EtqkcsvlPX2IAorgEBYwUQCThPvudl1afTnPcZavN9ijJUNyZmItA-Sglvk8OxBCmJJ7hhPXNoZBTPDclJNF0Z8k2NIPcZaRQpGnOlgIzddL5v9iJsj0lqn08vpStw1TDZyGYRJZX3ix1aOEf0VHDLI.D_5FyvZCGtBED_TLKuA-9L6ex3Rra2hIIEMe85P3TTc&dib_tag=se&keywords=laptops&qid=1762353044&sr=8-3","https://www.amazon.in/HP-14-Intel-Core-14th/dp/B0FVKVB2JQ/ref=sr_1_3?dib=eyJ2IjoiMSJ9.WDufGkYsryoSKfXyOWqkZlnjFauo6_NVhQduD_eG4DbMam64K9kKEPCFrTiVQwQHg9b0Sa3QEeChiQzhfJ99EtqkcsvlPX2IAorgEBYwUQCThPvudl1afTnPcZavN9ijJUNyZmItA-Sglvk8OxBCmJJ7hhPXNoZBTPDclJNF0Z8k2NIPcZaRQpGnOlgIzddL5v9iJsj0lqn08vpStw1TDZyGYRJZX3ix1aOEf0VHDLI.D_5FyvZCGtBED_TLKuA-9L6ex3Rra2hIIEMe85P3TTc&dib_tag=se&keywords=laptops&qid=1762353044&sr=8-3#customerReviews","2025-11-05 20:00:59"
"HP 15, AMD Ryzen 3 7320U (8GB LPDDR5, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6""/39.6cm, Win 11, Office 21, Silver, 1.59kg, fc0154AU, AMD Radeon Graphics, 1080p FHD Camera Laptop","B0D3HG5CMG","HP","30750","46990","(35% off)","In stock","4.0","N/A","Visit the HP Store","https://www.amazon.in/HP-Laptop-15-6-inch-Graphics-fc0154AU/dp/B0D3HG5CMG/ref=sr_1_4?dib=eyJ2IjoiMSJ9.WDufGkYsryoSKfXyOWqkZlnjFauo6_NVhQduD_eG4DbMam64K9kKEPCFrTiVQwQHg9b0Sa3QEeChiQzhfJ99EtqkcsvlPX2IAorgEBYwUQCThPvudl1afTnPcZavN9ijJUNyZmItA-Sglvk8OxBCmJJ7hhPXNoZBTPDclJNF0Z8k2NIPcZaRQpGnOlgIzddL5v9iJsj0lqn08vpStw1TDZyGYRJZX3ix1aOEf0VHDLI.D_5FyvZCGtBED_TLKuA-9L6ex3Rra2hIIEMe85P3TTc&dib_tag=se&keywords=laptops&qid=1762353044&sr=8-4","https://www.amazon.in/HP-Laptop-15-6-inch-Graphics-fc0154AU/dp/B0D3HG5CMG/ref=sr_1_4?dib=eyJ2IjoiMSJ9.WDufGkYsryoSKfXyOWqkZlnjFauo6_NVhQduD_eG4DbMam64K9kKEPCFrTiVQwQHg9b0Sa3QEeChiQzhfJ99EtqkcsvlPX2IAorgEBYwUQCThPvudl1afTnPcZavN9ijJUNyZmItA-Sglvk8OxBCmJJ7hhPXNoZBTPDclJNF0Z8k2NIPcZaRQpGnOlgIzddL5v9iJsj0lqn08vpStw1TDZyGYRJZX3ix1aOEf0VHDLI.D_5FyvZCGtBED_TLKuA-9L6ex3Rra2hIIEMe85P3TTc&dib_tag=se&keywords=laptops&qid=1762353044&sr=8-4#customerReviews","2025-11-05 20:01:16"
"HP 255 G10 Laptop for Home or Work, 16GB RAM, 512GB SSD, 15.6"" Full HD, Ryzen 3 7330U (Beats Intel i5-1135G7), HDMI, USB-C, Windows 11 Pro, Business and Fun Ready","B0FDBLR2HT","HP","35000","55000","(36% off)","In stock","4.7","N/A","Visit the HP Store","https://www.amazon.in/HP-255-512GB-Windows-Supported/dp/B0FDBLR2HT/ref=sr_1_5?dib=eyJ2IjoiMSJ9.WDufGkYsryoSKfXyOWqkZlnjFauo6_NVhQduD_eG4DbMam64K9kKEPCFrTiVQwQHg9b0Sa3QEeChiQzhfJ99EtqkcsvlPX2IAorgEBYwUQCThPvudl1afTnPcZavN9ijJUNyZmItA-Sglvk8OxBCmJJ7hhPXNoZBTPDclJNF0Z8k2NIPcZaRQpGnOlgIzddL5v9iJsj0lqn08vpStw1TDZyGYRJZX3ix1aOEf0VHDLI.D_5FyvZCGtBED_TLKuA-9L6ex3Rra2hIIEMe85P3TTc&dib_tag=se&keywords=laptops&qid=1762353044&sr=8-5","https://www.amazon.in/HP-255-512GB-Windows-Supported/dp/B0FDBLR2HT/ref=sr_1_5?dib=eyJ2IjoiMSJ9.WDufGkYsryoSKfXyOWqkZlnjFauo6_NVhQduD_eG4DbMam64K9kKEPCFrTiVQwQHg9b0Sa3QEeChiQzhfJ99EtqkcsvlPX2IAorgEBYwUQCThPvudl1afTnPcZavN9ijJUNyZmItA-Sglvk8OxBCmJJ7hhPXNoZBTPDclJNF0Z8k2NIPcZaRQpGnOlgIzddL5v9iJsj0lqn08vpStw1TDZyGYRJZX3ix1aOEf0VHDLI.D_5FyvZCGtBED_TLKuA-9L6ex3Rra2hIIEMe85P3TTc&dib_tag=se&keywords=laptops&qid=1762353044&sr=8-5#customerReviews","2025-11-05 20:01:32"
"Dell Inspiron 3535, Windows 11 Home, AMD Ryzen 3 7320U Processor, (8GB RAM/512GB SSD/Window 11/Ms Office' 21/15.6""(39.62 Cm) FHD Display/15 Month Mcafee/Carbon Black/1.67Kg Thin & Light Laptop","B0DG5CY2Y2","Dell","29990","38747","(23% off)","In stock","4.0","N/A","Visit the Dell Store","https://www.amazon.in/Dell-Inspiron-3535-Windows-Processor/dp/B0DG5CY2Y2/ref=sr_1_6?dib=eyJ2IjoiMSJ9.WDufGkYsryoSKfXyOWqkZlnjFauo6_NVhQduD_eG4DbMam64K9kKEPCFrTiVQwQHg9b0Sa3QEeChiQzhfJ99EtqkcsvlPX2IAorgEBYwUQCThPvudl1afTnPcZavN9ijJUNyZmItA-Sglvk8OxBCmJJ7hhPXNoZBTPDclJNF0Z8k2NIPcZaRQpGnOlgIzddL5v9iJsj0lqn08vpStw1TDZyGYRJZX3ix1aOEf0VHDLI.D_5FyvZCGtBED_TLKuA-9L6ex3Rra2hIIEMe85P3TTc&dib_tag=se&keywords=laptops&qid=1762353044&sr=8-6","https://www.amazon.in/Dell-Inspiron-3535-Windows-Processor/dp/B0DG5CY2Y2/ref=sr_1_6?dib=eyJ2IjoiMSJ9.WDufGkYsryoSKfXyOWqkZlnjFauo6_NVhQduD_eG4DbMam64K9kKEPCFrTiVQwQHg9b0Sa3QEeChiQzhfJ99EtqkcsvlPX2IAorgEBYwUQCThPvudl1afTnPcZavN9ijJUNyZmItA-Sglvk8OxBCmJJ7hhPXNoZBTPDclJNF0Z8k2NIPcZaRQpGnOlgIzddL5v9iJsj0lqn08vpStw1TDZyGYRJZX3ix1aOEf0VHDLI.D_5FyvZCGtBED_TLKuA-9L6ex3Rra2hIIEMe85P3TTc&dib_tag=se&keywords=laptops&qid=1762353044&sr=8-6#customerReviews","2025-11-05 20:01:44"
"HP 14 (2025), Intel Core 5 14th Gen 120U - (16 GB/512 GB SSD/Intel Iris Xe Graphics/Windows 11 Home) Thin and Light Business Laptop/14.0"" FHD Display/Ash Grey/1.4 kg/MS Office 2021","B0FVKNGNSF","HP","50990","92990","(45% off)","In stock","5.0","N/A","Visit the HP Store","https://www.amazon.in/HP-14-Intel-Core-14th/dp/B0FVKNGNSF/ref=sr_1_7?dib=eyJ2IjoiMSJ9.WDufGkYsryoSKfXyOWqkZlnjFauo6_NVhQduD_eG4DbMam64K9kKEPCFrTiVQwQHg9b0Sa3QEeChiQzhfJ99EtqkcsvlPX2IAorgEBYwUQCThPvudl1afTnPcZavN9ijJUNyZmItA-Sglvk8OxBCmJJ7hhPXNoZBTPDclJNF0Z8k2NIPcZaRQpGnOlgIzddL5v9iJsj0lqn08vpStw1TDZyGYRJZX3ix1aOEf0VHDLI.D_5FyvZCGtBED_TLKuA-9L6ex3Rra2hIIEMe85P3TTc&dib_tag=se&keywords=laptops&qid=1762353044&sr=8-7","https://www.amazon.in/HP-14-Intel-Core-14th/dp/B0FVKNGNSF/ref=sr_1_7?dib=eyJ2IjoiMSJ9.WDufGkYsryoSKfXyOWqkZlnjFauo6_NVhQduD_eG4DbMam64K9kKEPCFrTiVQwQHg9b0Sa3QEeChiQzhfJ99EtqkcsvlPX2IAorgEBYwUQCThPvudl1afTnPcZavN9ijJUNyZmItA-Sglvk8OxBCmJJ7hhPXNoZBTPDclJNF0Z8k2NIPcZaRQpGnOlgIzddL5v9iJsj0lqn08vpStw1TDZyGYRJZX3ix1aOEf0VHDLI.D_5FyvZCGtBED_TLKuA-9L6ex3Rra2hIIEMe85P3TTc&dib_tag=se&keywords=laptops&qid=1762353044&sr=8-7#customerReviews","2025-11-05 20:01:57"
"Acer SmartChoice Aspire Lite, AMD Ryzen 5-5625U Processor, 16 GB/512 GB, Full HD, 15.6""/39.62 cm, Windows 11 Home, Steel Gray, 1.59 kg, AL15-41, Metal Body, Thin and Light Laptop","B0DG2GCTD7","Acer","34490","58999","(42% off)","In stock","3.9","N/A","Visit the acer Store","https://www.amazon.in/5-5625U-Premium-Windows-AL15-41-Display/dp/B0DG2GCTD7/ref=sr_1_8?dib=eyJ2IjoiMSJ9.WDufGkYsryoSKfXyOWqkZlnjFauo6_NVhQduD_eG4DbMam64K9kKEPCFrTiVQwQHg9b0Sa3QEeChiQzhfJ99EtqkcsvlPX2IAorgEBYwUQCThPvudl1afTnPcZavN9ijJUNyZmItA-Sglvk8OxBCmJJ7hhPXNoZBTPDclJNF0Z8k2NIPcZaRQpGnOlgIzddL5v9iJsj0lqn08vpStw1TDZyGYRJZX3ix1aOEf0VHDLI.D_5FyvZCGtBED_TLKuA-9L6ex3Rra2hIIEMe85P3TTc&dib_tag=se&keywords=laptops&qid=1762353044&sr=8-8","https://www.amazon.in/5-5625U-Premium-Windows-AL15-41-Display/dp/B0DG2GCTD7/ref=sr_1_8?dib=eyJ2IjoiMSJ9.WDufGkYsryoSKfXyOWqkZlnjFauo6_NVhQduD_eG4DbMam64K9kKEPCFrTiVQwQHg9b0Sa3QEeChiQzhfJ99EtqkcsvlPX2IAorgEBYwUQCThPvudl1afTnPcZavN9ijJUNyZmItA-Sglvk8OxBCmJJ7hhPXNoZBTPDclJNF0Z8k2NIPcZaRQpGnOlgIzddL5v9iJsj0lqn08vpStw1TDZyGYRJZX3ix1aOEf0VHDLI.D_5FyvZCGtBED_TLKuA-9L6ex3Rra2hIIEMe85P3TTc&dib_tag=se&keywords=laptops&qid=1762353044&sr=8-8#customerReviews","2025-11-05 20:02:12"
"HP 15s, 12th Gen Intel Core i3-1215U (8GB DDR4, 512GB SSD) Anti-Glare, 15.6""/39.6cm,FHD, Win 11, MS Office 21, Silver, 1.69kg, fy5006tu/fd0751tu/fd0752tu, UHD Graphics, HD Camera, Dual Speakers Laptop","B0CJBL2QWY","HP","32990","42359","(22% off)","In stock","4.0","N/A","Visit the HP Store","https://www.amazon.in/HP-i3-1215U-Anti-Glare-15-6inch-Graphics/dp/B0CJBL2QWY/ref=sr_1_9?dib=eyJ2IjoiMSJ9.WDufGkYsryoSKfXyOWqkZlnjFauo6_NVhQduD_eG4DbMam64K9kKEPCFrTiVQwQHg9b0Sa3QEeChiQzhfJ99EtqkcsvlPX2IAorgEBYwUQCThPvudl1afTnPcZavN9ijJUNyZmItA-Sglvk8OxBCmJJ7hhPXNoZBTPDclJNF0Z8k2NIPcZaRQpGnOlgIzddL5v9iJsj0lqn08vpStw1TDZyGYRJZX3ix1aOEf0VHDLI.D_5FyvZCGtBED_TLKuA-9L6ex3Rra2hIIEMe85P3TTc&dib_tag=se&keywords=laptops&qid=1762353044&sr=8-9","https://www.amazon.in/HP-i3-1215U-Anti-Glare-15-6inch-Graphics/dp/B0CJBL2QWY/ref=sr_1_9?dib=eyJ2IjoiMSJ9.WDufGkYsryoSKfXyOWqkZlnjFauo6_NVhQduD_eG4DbMam64K9kKEPCFrTiVQwQHg9b0Sa3QEeChiQzhfJ99EtqkcsvlPX2IAorgEBYwUQCThPvudl1afTnPcZavN9ijJUNyZmItA-Sglvk8OxBCmJJ7hhPXNoZBTPDclJNF0Z8k2NIPcZaRQpGnOlgIzddL5v9iJsj0lqn08vpStw1TDZyGYRJZX3ix1aOEf0VHDLI.D_5FyvZCGtBED_TLKuA-9L6ex3Rra2hIIEMe85P3TTc&dib_tag=se&keywords=laptops&qid=1762353044&sr=8-9#customerReviews","2025-11-05 20:02:26"
"acer [SmartChoice Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/512 GB SSD/Win11 Home/38 WHR/HD Webcam) A325-45 with 39.63 cm (15.6"") HD Display, Pure Silver, 1.5 KG","B0D7PYTTGH","acer","23990","33999","(29% off)","In stock","3.4","N/A","Visit the acer Store","https://www.amazon.in/Acer-Celeron-Processor-LPDDR4X-A325-45/dp/B0D7PYTTGH/ref=sr_1_10?dib=eyJ2IjoiMSJ9.WDufGkYsryoSKfXyOWqkZlnjFauo6_NVhQduD_eG4DbMam64K9kKEPCFrTiVQwQHg9b0Sa3QEeChiQzhfJ99EtqkcsvlPX2IAorgEBYwUQCThPvudl1afTnPcZavN9ijJUNyZmItA-Sglvk8OxBCmJJ7hhPXNoZBTPDclJNF0Z8k2NIPcZaRQpGnOlgIzddL5v9iJsj0lqn08vpStw1TDZyGYRJZX3ix1aOEf0VHDLI.D_5FyvZCGtBED_TLKuA-9L6ex3Rra2hIIEMe85P3TTc&dib_tag=se&keywords=laptops&qid=1762353044&sr=8-10","https://www.amazon.in/Acer-Celeron-Processor-LPDDR4X-A325-45/dp/B0D7PYTTGH/ref=sr_1_10?dib=eyJ2IjoiMSJ9.WDufGkYsryoSKfXyOWqkZlnjFauo6_NVhQduD_eG4DbMam64K9kKEPCFrTiVQwQHg9b0Sa3QEeChiQzhfJ99EtqkcsvlPX2IAorgEBYwUQCThPvudl1afTnPcZavN9ijJUNyZmItA-Sglvk8OxBCmJJ7hhPXNoZBTPDclJNF0Z8k2NIPcZaRQpGnOlgIzddL5v9iJsj0lqn08vpStw1TDZyGYRJZX3ix1aOEf0VHDLI.D_5FyvZCGtBED_TLKuA-9L6ex3Rra2hIIEMe85P3TTc&dib_tag=se&keywords=laptops&qid=1762353044&sr=8-10#customerReviews","2025-11-05 20:02:38"
"Lenovo {SmartChoice)Chromebook Intel Celeron N4500 (4GB RAM/64GB eMMC 5.1/11.6 Inch (29.46cm)/HD Display/2Wx2 Stereo Speakers/HD Camera/Chrome OS/Blue/1.21Kg), 82UY0014HA","B0F2TMZJ24","Lenovo","14990","36502","(59% off)","In stock","3.8","N/A","Visit the Lenovo Store","https://www.amazon.in/Lenovo-SmartChoice-Chromebook-Speakers-82UY0014HA/dp/B0F2TMZJ24/ref=sr_1_11?dib=eyJ2IjoiMSJ9.WDufGkYsryoSKfXyOWqkZlnjFauo6_NVhQduD_eG4DbMam64K9kKEPCFrTiVQwQHg9b0Sa3QEeChiQzhfJ99EtqkcsvlPX2IAorgEBYwUQCThPvudl1afTnPcZavN9ijJUNyZmItA-Sglvk8OxBCmJJ7hhPXNoZBTPDclJNF0Z8k2NIPcZaRQpGnOlgIzddL5v9iJsj0lqn08vpStw1TDZyGYRJZX3ix1aOEf0VHDLI.D_5FyvZCGtBED_TLKuA-9L6ex3Rra2hIIEMe85P3TTc&dib_tag=se&keywords=laptops&qid=1762353044&sr=8-11","https://www.amazon.in/Lenovo-SmartChoice-Chromebook-Speakers-82UY0014HA/dp/B0F2TMZJ24/ref=sr_1_11?dib=eyJ2IjoiMSJ9.WDufGkYsryoSKfXyOWqkZlnjFauo6_NVhQduD_eG4DbMam64K9kKEPCFrTiVQwQHg9b0Sa3QEeChiQzhfJ99EtqkcsvlPX2IAorgEBYwUQCThPvudl1afTnPcZavN9ijJUNyZmItA-Sglvk8OxBCmJJ7hhPXNoZBTPDclJNF0Z8k2NIPcZaRQpGnOlgIzddL5v9iJsj0lqn08vpStw1TDZyGYRJZX3ix1aOEf0VHDLI.D_5FyvZCGtBED_TLKuA-9L6ex3Rra2hIIEMe85P3TTc&dib_tag=se&keywords=laptops&qid=1762353044&sr=8-11#customerReviews","2025-11-05 20:02:50"
"Lenovo V15 G4 AMD Ryzen 5 7520U 15.6 inch FHD Laptop, AMD Graphics, 16GB DDR5 5500Mhz Ram, 512GB SSD NVMe, Windows 11, Dolby Audio, Arctic Grey, 1 Year Onsite Brand Warranty","B0F29HNJL1","Lenovo","34990","54900","(36% off)","In stock","4.0","N/A","Visit the Lenovo Store","https://www.amazon.in/Lenovo-Graphics-5500Mhz-Windows-Warranty/dp/B0F29HNJL1/ref=sr_1_12?dib=eyJ2IjoiMSJ9.WDufGkYsryoSKfXyOWqkZlnjFauo6_NVhQduD_eG4DbMam64K9kKEPCFrTiVQwQHg9b0Sa3QEeChiQzhfJ99EtqkcsvlPX2IAorgEBYwUQCThPvudl1afTnPcZavN9ijJUNyZmItA-Sglvk8OxBCmJJ7hhPXNoZBTPDclJNF0Z8k2NIPcZaRQpGnOlgIzddL5v9iJsj0lqn08vpStw1TDZyGYRJZX3ix1aOEf0VHDLI.D_5FyvZCGtBED_TLKuA-9L6ex3Rra2hIIEMe85P3TTc&dib_tag=se&keywords=laptops&qid=1762353044&sr=8-12","https://www.amazon.in/Lenovo-Graphics-5500Mhz-Windows-Warranty/dp/B0F29HNJL1/ref=sr_1_12?dib=eyJ2IjoiMSJ9.WDufGkYsryoSKfXyOWqkZlnjFauo6_NVhQduD_eG4DbMam64K9kKEPCFrTiVQwQHg9b0Sa3QEeChiQzhfJ99EtqkcsvlPX2IAorgEBYwUQCThPvudl1afTnPcZavN9ijJUNyZmItA-Sglvk8OxBCmJJ7hhPXNoZBTPDclJNF0Z8k2NIPcZaRQpGnOlgIzddL5v9iJsj0lqn08vpStw1TDZyGYRJZX3ix1aOEf0VHDLI.D_5FyvZCGtBED_TLKuA-9L6ex3Rra2hIIEMe85P3TTc&dib_tag=se&keywords=laptops&qid=1762353044&sr=8-12#customerReviews","2025-11-05 20:03:03"
"Walker Best Student &Office Work Laptop|Thin & Light|14.1"" 1920 * 1080 Resolution FHD IPS Display |4GB RAM,128GB SSD|Celeron Processor N4020 (Gemini Lake)| Windows 11 Home | Silver","B0CGVLLWT3","Walker","12990","30000","(57% off)","In stock","3.2","N/A","Brand: Walker","https://www.amazon.in/Walker-Display-Resolution-Graphics-Mini-HDMI/dp/B0CGVLLWT3/ref=sr_1_13?dib=eyJ2IjoiMSJ9.WDufGkYsryoSKfXyOWqkZlnjFauo6_NVhQduD_eG4DbMam64K9kKEPCFrTiVQwQHg9b0Sa3QEeChiQzhfJ99EtqkcsvlPX2IAorgEBYwUQCThPvudl1afTnPcZavN9ijJUNyZmItA-Sglvk8OxBCmJJ7hhPXNoZBTPDclJNF0Z8k2NIPcZaRQpGnOlgIzddL5v9iJsj0lqn08vpStw1TDZyGYRJZX3ix1aOEf0VHDLI.D_5FyvZCGtBED_TLKuA-9L6ex3Rra2hIIEMe85P3TTc&dib_tag=se&keywords=laptops&qid=1762353044&sr=8-13","https://www.amazon.in/Walker-Display-Resolution-Graphics-Mini-HDMI/dp/B0CGVLLWT3/ref=sr_1_13?dib=eyJ2IjoiMSJ9.WDufGkYsryoSKfXyOWqkZlnjFauo6_NVhQduD_eG4DbMam64K9kKEPCFrTiVQwQHg9b0Sa3QEeChiQzhfJ99EtqkcsvlPX2IAorgEBYwUQCThPvudl1afTnPcZavN9ijJUNyZmItA-Sglvk8OxBCmJJ7hhPXNoZBTPDclJNF0Z8k2NIPcZaRQpGnOlgIzddL5v9iJsj0lqn08vpStw1TDZyGYRJZX3ix1aOEf0VHDLI.D_5FyvZCGtBED_TLKuA-9L6ex3Rra2hIIEMe85P3TTc&dib_tag=se&keywords=laptops&qid=1762353044&sr=8-13#customerReviews","2025-11-05 20:03:16"
"HP 15,Intel Ultra 5 125H (16GB DDR5, 1TB SSD) FHD, IPS, 15.6''/39.6cm, Win11, M365 Basic(1yr)*Office24, Silver, 1.65kg, fd1354TU, Intel Arc Graphics, FHD Camera w/Shutter, AI Powered Laptop","B0F5B1N9SJ","HP","64990","78719","(17% off)","In stock","3.9","N/A","Visit the HP Store","https://www.amazon.in/HP-Office24-fd1354TU-Graphics-Shutter/dp/B0F5B1N9SJ/ref=sr_1_14?dib=eyJ2IjoiMSJ9.WDufGkYsryoSKfXyOWqkZlnjFauo6_NVhQduD_eG4DbMam64K9kKEPCFrTiVQwQHg9b0Sa3QEeChiQzhfJ99EtqkcsvlPX2IAorgEBYwUQCThPvudl1afTnPcZavN9ijJUNyZmItA-Sglvk8OxBCmJJ7hhPXNoZBTPDclJNF0Z8k2NIPcZaRQpGnOlgIzddL5v9iJsj0lqn08vpStw1TDZyGYRJZX3ix1aOEf0VHDLI.D_5FyvZCGtBED_TLKuA-9L6ex3Rra2hIIEMe85P3TTc&dib_tag=se&keywords=laptops&qid=1762353044&sr=8-14","https://www.amazon.in/HP-Office24-fd1354TU-Graphics-Shutter/dp/B0F5B1N9SJ/ref=sr_1_14?dib=eyJ2IjoiMSJ9.WDufGkYsryoSKfXyOWqkZlnjFauo6_NVhQduD_eG4DbMam64K9kKEPCFrTiVQwQHg9b0Sa3QEeChiQzhfJ99EtqkcsvlPX2IAorgEBYwUQCThPvudl1afTnPcZavN9ijJUNyZmItA-Sglvk8OxBCmJJ7hhPXNoZBTPDclJNF0Z8k2NIPcZaRQpGnOlgIzddL5v9iJsj0lqn08vpStw1TDZyGYRJZX3ix1aOEf0VHDLI.D_5FyvZCGtBED_TLKuA-9L6ex3Rra2hIIEMe85P3TTc&dib_tag=se&keywords=laptops&qid=1762353044&sr=8-14#customerReviews","2025-11-05 20:03:30"
"HP 15 (2025), AMD Ryzen 3 7330U Quad Core - (16 GB/512 GB SSD/AMD Radeon Graphics/Windows 11 Home) Thin and Light Business Laptop/15.6"" FHD Display/Backlit Keyboard/Turbo Silver/1.5 kg/MS Office 2021","B0FL7PPM4K","HP","31990","78690","(59% off)","Only 2 left in stock.","5.0","N/A","Visit the HP Store","https://www.amazon.in/HP-15-Ryzen-7330U-Quad/dp/B0FL7PPM4K/ref=sr_1_15?dib=eyJ2IjoiMSJ9.WDufGkYsryoSKfXyOWqkZlnjFauo6_NVhQduD_eG4DbMam64K9kKEPCFrTiVQwQHg9b0Sa3QEeChiQzhfJ99EtqkcsvlPX2IAorgEBYwUQCThPvudl1afTnPcZavN9ijJUNyZmItA-Sglvk8OxBCmJJ7hhPXNoZBTPDclJNF0Z8k2NIPcZaRQpGnOlgIzddL5v9iJsj0lqn08vpStw1TDZyGYRJZX3ix1aOEf0VHDLI.D_5FyvZCGtBED_TLKuA-9L6ex3Rra2hIIEMe85P3TTc&dib_tag=se&keywords=laptops&qid=1762353044&sr=8-15","https://www.amazon.in/HP-15-Ryzen-7330U-Quad/dp/B0FL7PPM4K/ref=sr_1_15?dib=eyJ2IjoiMSJ9.WDufGkYsryoSKfXyOWqkZlnjFauo6_NVhQduD_eG4DbMam64K9kKEPCFrTiVQwQHg9b0Sa3QEeChiQzhfJ99EtqkcsvlPX2IAorgEBYwUQCThPvudl1afTnPcZavN9ijJUNyZmItA-Sglvk8OxBCmJJ7hhPXNoZBTPDclJNF0Z8k2NIPcZaRQpGnOlgIzddL5v9iJsj0lqn08vpStw1TDZyGYRJZX3ix1aOEf0VHDLI.D_5FyvZCGtBED_TLKuA-9L6ex3Rra2hIIEMe85P3TTc&dib_tag=se&keywords=laptops&qid=1762353044&sr=8-15#customerReviews","2025-11-05 20:03:41"
